Timestamp,Alpha,Beta,Theta,Delta
1700951971,-0.216127155,-0.123129638,-0.161437798,-0.357911819
1700951972,-0.078619659,-0.095130473,-0.121790884,-0.213219804
1700951972,-0.03062627,-0.201068332,-0.307487645,-0.286902776
1700951972,-0.147330205,-0.237505659,-0.617709804,-0.280192449
1700951972,-0.269584883,-0.149842855,-0.382311293,-0.140836318
1700951972,-0.227964556,-0.114272383,-0.168325978,-0.121135575
1700951973,-0.077413963,-0.05379198,-0.155660279,-0.074466927
1700951973,-0.109274689,-0.048666623,-0.211979002,-0.219897577
1700951973,-0.255285352,-0.100168536,-0.338934183,-0.092847155
1700951973,-0.460184231,-0.243709833,-0.358098278,0.022009491
1700951973,-0.520874776,-0.358625811,-0.158581488,-0.024155748
1700951974,-0.41092128,-0.285069485,-0.024273341,-0.027227221
1700951974,-0.268739496,-0.186590705,-0.024238563,-0.224036147
1700951974,-0.184384133,-0.086277503,-0.100515817,-0.273126467
1700951974,-0.053446033,-0.137601821,-0.313798458,-0.387017647
1700951974,-0.04057681,-0.214521282,-0.159438446,-0.426376388
1700951975,-0.21550497,-0.136046128,-0.126207628,-0.550149862
1700951975,-0.270290142,-0.069416252,-0.299014776,-0.359185142
1700951975,-0.199345798,-0.035338612,-0.103741377,-0.225064237
1700951975,-0.144026187,0.000154292,0.03837459,-0.102187187
1700951975,-0.192787366,-0.070616503,-0.064367183,-0.066390074
1700951976,-0.209023426,-0.100571738,-0.253864741,-0.230584829
1700951976,-0.048912015,-0.086861906,-0.292350541,-0.620402034
1700951976,0.001939491,-0.131490594,-0.103415583,-0.511431826
1700951976,0.019718184,-0.182535212,-0.067761486,-0.428023915
1700951976,-0.166111441,-0.267443441,-0.260300793,-0.310958045
1700951977,-0.215360353,-0.150511532,-0.195972188,-0.140210121
1700951977,-0.044028975,-0.114363351,-0.231250972,-0.213795581
1700951977,-0.028824801,-0.163058131,-0.18218357,-0.205073394
1700951977,-0.131456232,-0.220245947,-0.160932413,-0.439814574
1700951977,-0.153513576,-0.218380742,-0.39095057,-0.12344444
1700951978,-0.148607314,-0.213554414,-0.447491297,-0.071993112
1700951978,-0.147820357,-0.1985865,-0.404370652,-0.10452889
1700951978,-0.240731949,-0.161678262,-0.377044945,-0.384639804
1700951978,-0.360144453,-0.11489116,-0.244603252,-0.094663447
1700951978,-0.448305688,-0.134448734,-0.057342737,-0.112629859
1700951979,-0.258646842,-0.194780971,-0.063357753,-0.138286064
1700951979,-0.175030082,-0.149707718,-0.083757293,-0.318775361
1700951979,-0.250118025,-0.119859169,-0.001678399,-0.129193325
1700951979,-0.178981715,-0.028532613,0.057329169,-0.252498887
1700951979,-0.176612064,-0.06427409,-0.021305124,-0.463306522
1700951980,-0.239830186,-0.112338304,-0.04857609,-0.337483688
1700951980,-0.084647701,-0.082027372,0.169268205,-0.143966922
1700951980,0.026611137,-0.069875465,0.172979028,-0.186772119
1700951980,-0.041163828,-0.130132308,0.069554101,-0.154709314
1700951980,-0.35328889,-0.177806609,0.013884038,-0.059963277
1700951981,-0.386219735,-0.160308008,-0.259590259,-0.164676075
1700951981,-0.233908785,-0.090512695,-0.507103998,-0.054238776
1700951981,-0.12438595,-0.171639258,-0.169007487,-0.191974633
1700951981,-0.160534543,-0.291611165,-0.032344245,-0.200641701
1700951981,-0.273336968,-0.321099168,-0.136846498,-0.393461975
1700951982,-0.21047577,-0.373116567,-0.279882413,-0.280749841
1700951982,-0.162858335,-0.285139325,-0.19346565,-0.077309705
1700951982,-0.258051334,-0.164763389,-0.12128483,0.024274176
1700951982,-0.327759899,-0.274545585,-0.217634484,-0.03936397
1700951982,-0.264183658,-0.475882139,-0.27306439,0.037944978
1700951983,-0.173398711,-0.47564864,-0.254938926,0.082339008
1700951983,-0.018857214,-0.328127518,-0.323731375,-0.014815384
1700951983,-0.074410719,-0.358367871,-0.233789302,0.011994714
1700951983,-0.41940519,-0.420192089,-0.133232899,-0.095125356
1700951983,-0.601688067,-0.37991621,-0.019877509,-0.108593511
1700951984,-0.552723866,-0.311182705,-0.005949773,0.011683975
1700951984,-0.50216806,-0.197091417,0.023595302,-0.068931089
1700951984,-0.654711299,-0.108809452,-0.094875106,0.000910258
1700951984,-0.406334582,-0.117479973,-0.350242812,0.042999694
1700951984,-0.418055842,-0.180655002,-0.28432228,-0.129917582
1700951985,-0.408417957,-0.182522865,-0.123506473,-0.256483425
1700951985,-0.128288044,-0.147613146,-0.134939988,-0.36251072
1700951985,-0.088169955,-0.131142618,0.005537384,-0.239666648
1700951985,-0.105142864,-0.004179612,0.17691637,-0.226726441
1700951985,-0.118293608,-0.004215709,0.10100822,-0.149419215
1700951986,-0.309385816,-0.131074414,-0.121285129,-0.003869392
1700951986,-0.193477092,-0.251473003,-0.145551373,0.095606567
1700951986,-0.02486948,-0.320715559,0.043281762,-0.123260535
1700951986,0.081801219,-0.356651658,0.078067923,-0.215780449
1700951986,0.099936274,-0.288747791,-0.174261225,-0.365902685
1700951987,0.087274934,-0.333704492,-0.266478354,-0.209016617
1700951987,-0.031937987,-0.354298023,-0.189796164,-0.069420055
1700951987,-0.017985753,-0.300608253,-0.133810219,-0.199458902
1700951987,-0.016459519,-0.32152014,-0.320521636,-0.2611583
1700951987,-0.199728936,-0.32602423,-0.495619893,-0.316485024
